id,name,existence
0,'全日程終了',1
1,'男子段位個人実戦',1
2,'男子段位個人法形',1
3,'女子段位個人実戦',1
4,'女子段位個人法形',1
5,'壮年法形',0
6,'女子団体実戦',0
7,'男子団体実戦',0
8,'男子団体法形',0
9,'女子団体法形',0
10,'男子団体展開',0
11,'女子団体展開',0
12,'新人運足八法',1
13,'男子級位個人実戦',1
14,'男子級位個人法形',1
15,'女子級位個人実戦',1
16,'女子級位個人法形',1
17,'団体実戦',1
