id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,16,'9:15-9:45',0,0,0,0
2,12,'9:50-10:35',0,0,0,0
3,4,'10:40-11:35',0,0,0,0
4,13,'11:40-12:35',0,0,0,1
5,3,'13:45-14:30',0,0,0,0
6,17,'14:35-15:10',0,0,0,0
7,14,'15:20-15:25',0,1,0,0
8,2,'15:25-15:30',0,1,0,0
9,13,'15:35-15:40',0,1,0,0
10,1,'15:40-15:45',0,1,0,2
11,0,'',0,0,0,0
