id,left_group_id,right_group_id,next_left_id,next_right_id,left_group_flag,left_retire,right_retire
1,1,2,,,,,
2,8,5,,,,,
3,3,4,,,,,
4,9,,,,,,
5,7,6,,,,,
6,10,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
